EnglishCountryRegionName,StateProvinceName,City,UnitPrice,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt
United States,Missouri,Ferguson,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Minnesota,Duluth,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Ohio,North Randall,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,California,Santa Ana,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Georgia,Decatur,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Massachusetts,Wrentham,2475750.305,2443589.419,0.8565,1.374,95.4773
Canada,British Columbia,Newton,19476024.24,19112145.07,0.8565,1.374,100.5098
United States,Washington,Bellingham,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,Oregon,Klamath Falls,3929388.861,3834616.64,0.8565,1.374,126.3727
United Kingdom,England,Basingstoke Hants,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,Texas,Plano,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Maine,Kittery,2475750.305,2443589.419,0.8565,1.374,95.4773
United States,Kentucky,Somerset,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Minnesota,Edina,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Mississippi,Gulfport,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Arizona,Tucson,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,California,San Ysidro,6054471.746,5985742.289,0.8565,1.374,110.4206
Germany,Nordrhein-Westfalen,Bonn,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Michigan,Midland,2679790.109,2635645.227,0.8565,1.374,108.8232
United States,Arizona,Gilbert,6054471.746,5985742.289,0.8565,1.374,110.4206
United States,Florida,Sarasota,2893853.571,2841382.846,0.8565,1.374,106.012
United States,Michigan,Port Huron,2679790.109,2635645.227,0.8565,1.374,108.8232
Canada,British Columbia,Cliffside,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,New Hampshire,Hooksett,2475750.305,2443589.419,0.8565,1.374,95.4773
United Kingdom,England,Birmingham,1377211.962,1361500.652,0.8565,1.374,97.2502
United States,California,Sand City,6054471.746,5985742.289,0.8565,1.374,110.4206
Germany,Hessen,Hamburg,682744.6497,706307.964,0.8565,1.374,86.3073
United States,Connecticut,Westport,2475750.305,2443589.419,0.8565,1.374,95.4773
Canada,Ontario,Nepean,4869006.061,4778036.267,0.8565,1.374,100.5098
United States,Oregon,Portland,3929388.861,3834616.64,0.8565,1.374,126.3727
United States,North Carolina,Charlotte,2893853.571,2841382.846,0.8565,1.374,106.012
Germany,Saarland,Saarlouis,682744.6497,706307.964,0.8565,1.374,86.3073
France,Somme,Saint Ouen,1315908.847,1300307.89,1.713,2.748,104.4201
United States,California,Cerritos,6054471.746,5985742.289,0.8565,1.374,110.4206
